# ZSnsr (um)	Defl (nm)
-2.261091699999999980e-04	-2.024736699999999928e+03
-1.808873300000000007e-04	-2.024604599999999891e+03
-1.808873300000000007e-04	-2.023844899999999825e+03
-1.808873300000000007e-04	-2.023311699999999746e+03
-1.808873300000000007e-04	-2.022584300000000212e+03
-1.808873300000000007e-04	-2.022235300000000052e+03
-2.148037200000000061e-04	-2.021252799999999979e+03
-2.034982600000000000e-04	-2.020755299999999806e+03
-1.808873300000000007e-04	-2.019777600000000120e+03
-2.034982600000000000e-04	-2.018866100000000188e+03
-1.356655099999999777e-04	-2.018116200000000163e+03
-1.921927900000000068e-04	-2.017448400000000220e+03
-2.261091699999999980e-04	-2.016645999999999958e+03
-2.487200999999999973e-04	-2.015899800000000141e+03
-2.713310099999999953e-04	-2.014780399999999872e+03
-2.939419300000000075e-04	-2.013990300000000161e+03
-2.261091699999999980e-04	-2.013392499999999927e+03
-2.034982600000000000e-04	-2.012767000000000280e+03
-2.148037200000000061e-04	-2.012028500000000122e+03
-1.695818800000000088e-04	-2.010952800000000252e+03
-1.921927900000000068e-04	-2.010052899999999909e+03
-2.261091699999999980e-04	-2.009076999999999998e+03
-1.808873300000000007e-04	-2.008380299999999806e+03
-1.808873300000000007e-04	-2.007553100000000086e+03
-1.356655099999999777e-04	-2.006521100000000160e+03
-1.243600499999999987e-04	-2.005806900000000041e+03
-1.356655099999999777e-04	-2.004895800000000008e+03
-1.695818800000000088e-04	-2.004102000000000089e+03
-1.695818800000000088e-04	-2.003059799999999768e+03
-1.582764200000000027e-04	-2.002140000000000100e+03
-1.469709599999999966e-04	-2.001408300000000054e+03
-1.130545900000000061e-04	-2.000801300000000083e+03
-1.808873300000000007e-04	-1.999682099999999991e+03
-1.582764200000000027e-04	-1.998625499999999874e+03
-9.044366599999999635e-05	-1.997928599999999960e+03
-1.469709599999999966e-04	-1.997110800000000154e+03
-2.034982600000000000e-04	-1.996251999999999725e+03
-2.374146200000000170e-04	-1.995442500000000109e+03
-1.808873300000000007e-04	-1.994271799999999985e+03
-1.808873300000000007e-04	-1.993499800000000278e+03
-7.913821000000000137e-05	-1.992590799999999945e+03
-1.017491300000000000e-04	-1.991441399999999931e+03
-1.356655099999999777e-04	-1.990646299999999883e+03
-1.130545900000000061e-04	-1.989826200000000199e+03
-1.695818800000000088e-04	-1.988604000000000042e+03
-1.582764200000000027e-04	-1.987690700000000106e+03
-1.469709599999999966e-04	-1.986810299999999870e+03
-1.582764200000000027e-04	-1.986093799999999874e+03
-1.582764200000000027e-04	-1.985136799999999994e+03
-6.783275300000001038e-05	-1.984385800000000245e+03
-6.783275300000001038e-05	-1.983267300000000205e+03
-1.130545900000000061e-04	-1.982157999999999902e+03
-6.783275300000001038e-05	-1.981267100000000028e+03
-1.130545900000000061e-04	-1.980295299999999770e+03
-1.130545900000000061e-04	-1.979596400000000131e+03
-1.243600499999999987e-04	-1.978615000000000236e+03
-1.582764200000000027e-04	-1.977317199999999730e+03
-1.469709599999999966e-04	-1.976394999999999982e+03
-1.582764200000000027e-04	-1.975679899999999861e+03
-1.582764200000000027e-04	-1.974537300000000187e+03
-1.695818800000000088e-04	-1.973504400000000032e+03
-1.808873300000000007e-04	-1.972632199999999784e+03
-2.034982600000000000e-04	-1.971827299999999923e+03
-1.356655099999999777e-04	-1.971008500000000140e+03
-1.243600499999999987e-04	-1.969893400000000156e+03
-1.356655099999999777e-04	-1.968868900000000167e+03
-1.243600499999999987e-04	-1.968141799999999876e+03
-1.130545900000000061e-04	-1.966961700000000064e+03
-1.130545900000000061e-04	-1.966268900000000031e+03
-1.356655099999999777e-04	-1.965166800000000194e+03
-1.243600499999999987e-04	-1.964399599999999964e+03
-1.469709599999999966e-04	-1.963211200000000190e+03
-1.469709599999999966e-04	-1.962160000000000309e+03
-1.695818800000000088e-04	-1.961325599999999895e+03
-1.356655099999999777e-04	-1.960549500000000080e+03
-1.356655099999999777e-04	-1.959597300000000132e+03
-1.469709599999999966e-04	-1.958548199999999952e+03
-1.695818800000000088e-04	-1.957642799999999852e+03
-1.469709599999999966e-04	-1.956563000000000102e+03
-1.582764200000000027e-04	-1.955717400000000225e+03
-1.017491300000000000e-04	-1.954607599999999820e+03
-1.582764200000000027e-04	-1.953537299999999732e+03
-1.808873300000000007e-04	-1.952676499999999805e+03
-1.695818800000000088e-04	-1.951829300000000103e+03
-1.243600499999999987e-04	-1.950855900000000020e+03
-1.356655099999999777e-04	-1.949962299999999914e+03
-1.017491300000000000e-04	-1.949074900000000071e+03
-1.130545900000000061e-04	-1.947965500000000020e+03
-1.243600499999999987e-04	-1.946963700000000244e+03
-1.130545900000000061e-04	-1.945929600000000164e+03
-1.582764200000000027e-04	-1.944843000000000075e+03
-1.017491300000000000e-04	-1.943941900000000032e+03
-1.356655099999999777e-04	-1.942934899999999971e+03
-7.913821000000000137e-05	-1.942089099999999917e+03
-1.356655099999999777e-04	-1.941242299999999886e+03
-1.356655099999999777e-04	-1.939828099999999949e+03
-1.356655099999999777e-04	-1.939222599999999829e+03
-1.469709599999999966e-04	-1.938394000000000233e+03
-1.243600499999999987e-04	-1.937003399999999829e+03
-1.808873300000000007e-04	-1.936311299999999846e+03
-1.356655099999999777e-04	-1.935147999999999911e+03
-1.582764200000000027e-04	-1.934101199999999835e+03
-1.243600499999999987e-04	-1.933110099999999875e+03
-9.044366599999999635e-05	-1.932382699999999886e+03
-7.913821000000000137e-05	-1.931425699999999779e+03
-1.130545900000000061e-04	-1.930299700000000257e+03
-1.469709599999999966e-04	-1.929104199999999764e+03
-1.582764200000000027e-04	-1.928522400000000289e+03
-1.921927900000000068e-04	-1.927332100000000082e+03
-1.695818800000000088e-04	-1.926407799999999725e+03
-1.469709599999999966e-04	-1.925204500000000053e+03
-1.469709599999999966e-04	-1.924379400000000032e+03
-1.582764200000000027e-04	-1.923740700000000061e+03
-1.695818800000000088e-04	-1.922385499999999865e+03
-1.469709599999999966e-04	-1.921563999999999851e+03
-1.582764200000000027e-04	-1.920792799999999943e+03
-7.913821000000000137e-05	-1.919507000000000062e+03
-6.783275300000001038e-05	-1.918530900000000202e+03
-1.130545900000000061e-04	-1.917386299999999892e+03
-1.808873300000000007e-04	-1.916668499999999767e+03
-1.130545900000000061e-04	-1.915395600000000059e+03
-1.469709599999999966e-04	-1.914538200000000188e+03
-1.356655099999999777e-04	-1.913218499999999949e+03
-1.130545900000000061e-04	-1.912290099999999939e+03
-1.356655099999999777e-04	-1.911510499999999865e+03
-1.808873300000000007e-04	-1.910518200000000206e+03
-1.130545900000000061e-04	-1.909642200000000003e+03
-7.913821000000000137e-05	-1.908506200000000035e+03
-9.044366599999999635e-05	-1.907733100000000150e+03
-9.044366599999999635e-05	-1.906545499999999947e+03
