# ZSnsr (um)	Defl (nm)
-3.691322800000000084e-04	-2.144506699999999910e+03
-3.513854999999999648e-04	-2.144284700000000157e+03
-3.442868199999999930e-04	-2.143858399999999619e+03
-3.549348900000000220e-04	-2.142992600000000039e+03
-3.265401000000000349e-04	-2.142309499999999844e+03
-3.336387800000000067e-04	-2.141886899999999969e+03
-3.584842100000000336e-04	-2.141303199999999833e+03
-3.549348900000000220e-04	-2.140480300000000170e+03
-3.549348900000000220e-04	-2.139659000000000106e+03
-3.371881100000000326e-04	-2.138945799999999963e+03
-3.336387800000000067e-04	-2.138242500000000291e+03
-3.265401000000000349e-04	-2.137436900000000151e+03
-3.442868199999999930e-04	-2.136644800000000032e+03
-3.691322800000000084e-04	-2.136030400000000100e+03
-3.655828999999999654e-04	-2.135449399999999969e+03
-3.336387800000000067e-04	-2.134690499999999702e+03
-3.407374899999999671e-04	-2.133808700000000044e+03
-3.229907199999999920e-04	-2.132949699999999666e+03
-3.229907199999999920e-04	-2.132123399999999947e+03
-3.300894300000000066e-04	-2.131277800000000298e+03
-3.336387800000000067e-04	-2.130427200000000084e+03
-3.371881100000000326e-04	-2.129598200000000361e+03
-3.265401000000000349e-04	-2.128779200000000401e+03
-3.442868199999999930e-04	-2.127976599999999962e+03
-3.371881100000000326e-04	-2.127172599999999875e+03
-3.158920299999999517e-04	-2.126289200000000164e+03
-3.265401000000000349e-04	-2.125322500000000218e+03
-3.158920299999999517e-04	-2.124416600000000017e+03
-3.407374899999999671e-04	-2.123681000000000040e+03
-3.442868199999999930e-04	-2.122990999999999985e+03
-3.620335700000000480e-04	-2.122137400000000071e+03
-3.371881100000000326e-04	-2.121101700000000164e+03
-3.371881100000000326e-04	-2.120052799999999934e+03
-3.336387800000000067e-04	-2.119150599999999940e+03
-3.229907199999999920e-04	-2.118414400000000114e+03
-3.336387800000000067e-04	-2.117703599999999824e+03
-3.407374899999999671e-04	-2.116838199999999688e+03
-3.442868199999999930e-04	-2.115818700000000263e+03
-3.194413900000000204e-04	-2.114761600000000271e+03
-3.371881100000000326e-04	-2.113731600000000071e+03
-3.336387800000000067e-04	-2.112811200000000099e+03
-3.336387800000000067e-04	-2.112023999999999887e+03
-3.300894300000000066e-04	-2.111257300000000214e+03
-3.478361800000000074e-04	-2.110435800000000199e+03
-3.407374899999999671e-04	-2.109538600000000315e+03
-3.336387800000000067e-04	-2.108558399999999892e+03
-3.407374899999999671e-04	-2.107562800000000152e+03
-3.407374899999999671e-04	-2.106617299999999886e+03
-3.336387800000000067e-04	-2.105742400000000089e+03
-3.229907199999999920e-04	-2.104931599999999889e+03
-3.194413900000000204e-04	-2.104054399999999987e+03
-3.371881100000000326e-04	-2.103004600000000210e+03
-3.194413900000000204e-04	-2.101954600000000028e+03
-3.265401000000000349e-04	-2.101059899999999743e+03
-3.194413900000000204e-04	-2.100167199999999866e+03
-3.229907199999999920e-04	-2.099162199999999757e+03
-3.300894300000000066e-04	-2.098199000000000069e+03
-3.194413900000000204e-04	-2.097354600000000119e+03
-3.229907199999999920e-04	-2.096490099999999984e+03
-3.158920299999999517e-04	-2.095541700000000219e+03
-3.194413900000000204e-04	-2.094595400000000154e+03
-3.478361800000000074e-04	-2.093681999999999789e+03
-3.371881100000000326e-04	-2.092737500000000182e+03
-3.300894300000000066e-04	-2.091777999999999793e+03
-3.194413900000000204e-04	-2.090884199999999964e+03
-3.229907199999999920e-04	-2.089976799999999912e+03
-3.265401000000000349e-04	-2.088925399999999627e+03
-3.336387800000000067e-04	-2.087825100000000020e+03
-3.229907199999999920e-04	-2.086868300000000090e+03
-3.087933500000000341e-04	-2.086077499999999873e+03
-3.229907199999999920e-04	-2.085293299999999817e+03
-3.265401000000000349e-04	-2.084342899999999645e+03
-3.158920299999999517e-04	-2.083290800000000218e+03
-3.087933500000000341e-04	-2.082330199999999877e+03
-2.981452900000000194e-04	-2.081401100000000042e+03
-2.981452900000000194e-04	-2.080392499999999927e+03
-2.910465999999999791e-04	-2.079437300000000050e+03
-3.123427099999999943e-04	-2.078593299999999999e+03
-2.981452900000000194e-04	-2.077730400000000373e+03
-3.229907199999999920e-04	-2.076750000000000000e+03
-3.336387800000000067e-04	-2.075651499999999942e+03
-3.158920299999999517e-04	-2.074552000000000135e+03
-3.265401000000000349e-04	-2.073572000000000116e+03
-3.016946400000000196e-04	-2.072677500000000236e+03
-3.052439999999999798e-04	-2.071791000000000167e+03
-3.336387800000000067e-04	-2.070870799999999690e+03
-3.194413900000000204e-04	-2.069837999999999738e+03
-3.194413900000000204e-04	-2.068721900000000005e+03
-3.229907199999999920e-04	-2.067725500000000011e+03
-3.158920299999999517e-04	-2.066916700000000219e+03
-3.123427099999999943e-04	-2.066122499999999945e+03
-3.336387800000000067e-04	-2.065203500000000076e+03
-3.229907199999999920e-04	-2.064176899999999932e+03
-3.158920299999999517e-04	-2.063118699999999990e+03
-3.016946400000000196e-04	-2.062116899999999987e+03
-2.910465999999999791e-04	-2.061197200000000066e+03
-3.087933500000000341e-04	-2.060277900000000045e+03
-3.158920299999999517e-04	-2.059264000000000124e+03
-3.265401000000000349e-04	-2.058131699999999910e+03
-3.052439999999999798e-04	-2.057000500000000102e+03
-2.945959599999999935e-04	-2.056045299999999770e+03
-3.123427099999999943e-04	-2.055223599999999806e+03
-3.300894300000000066e-04	-2.054306399999999940e+03
-3.371881100000000326e-04	-2.053218599999999697e+03
-3.336387800000000067e-04	-2.052134300000000167e+03
-3.265401000000000349e-04	-2.051193600000000060e+03
-3.265401000000000349e-04	-2.050298500000000331e+03
-3.229907199999999920e-04	-2.049298899999999776e+03
-3.229907199999999920e-04	-2.048244599999999991e+03
-3.016946400000000196e-04	-2.047243900000000167e+03
-3.123427099999999943e-04	-2.046231899999999996e+03
-3.265401000000000349e-04	-2.045167299999999841e+03
-3.229907199999999920e-04	-2.044212399999999889e+03
-3.158920299999999517e-04	-2.043423399999999901e+03
-3.087933500000000341e-04	-2.042566600000000108e+03
-3.194413900000000204e-04	-2.041473599999999806e+03
-3.229907199999999920e-04	-2.040287700000000086e+03
-3.052439999999999798e-04	-2.039217200000000048e+03
-3.194413900000000204e-04	-2.038269699999999830e+03
-3.087933500000000341e-04	-2.037339999999999691e+03
-3.123427099999999943e-04	-2.036380899999999883e+03
-3.194413900000000204e-04	-2.035396400000000085e+03
-3.123427099999999943e-04	-2.034369800000000168e+03
-3.265401000000000349e-04	-2.033279099999999971e+03
-3.229907199999999920e-04	-2.032210399999999709e+03
-3.336387800000000067e-04	-2.031294300000000021e+03
-3.265401000000000349e-04	-2.030439399999999750e+03
-3.016946400000000196e-04	-2.029492199999999912e+03
-3.087933500000000341e-04	-2.028552900000000136e+03
-3.052439999999999798e-04	-2.027697300000000041e+03
-3.123427099999999943e-04	-2.026769400000000132e+03
-3.087933500000000341e-04	-2.025752999999999929e+03
-3.229907199999999920e-04	-2.024837600000000066e+03
