# ZSnsr (um)	Defl (nm)
-2.258282400000000134e+00	-3.797802900000000204e-01
-2.257972500000000160e+00	-3.620335700000000267e-01
-2.257271300000000203e+00	-3.407374899999999762e-01
-2.256483400000000028e+00	-3.300894299999999615e-01
-2.256049099999999807e+00	-3.371881099999999853e-01
-2.255367499999999747e+00	-3.407374899999999762e-01
-2.254279900000000225e+00	-3.336387799999999682e-01
-2.253801800000000188e+00	-3.442868199999999934e-01
-2.253150300000000161e+00	-3.336387799999999682e-01
-2.252346600000000088e+00	-3.371881099999999853e-01
-2.251836599999999855e+00	-3.300894299999999615e-01
-2.250723099999999643e+00	-3.336387799999999682e-01
-2.250223999999999780e+00	-3.336387799999999682e-01
-2.249455500000000274e+00	-3.194413900000000472e-01
-2.248390500000000181e+00	-3.300894299999999615e-01
-2.247955800000000171e+00	-3.336387799999999682e-01
-2.246948699999999910e+00	-3.442868199999999934e-01
-2.245989199999999908e+00	-3.265400999999999998e-01
-2.245616099999999893e+00	-3.265400999999999998e-01
-2.244257800000000191e+00	-3.371881099999999853e-01
-2.243551800000000096e+00	-3.407374899999999762e-01
-2.242745300000000164e+00	-3.442868199999999934e-01
-2.241785999999999834e+00	-3.229907200000000089e-01
-2.240904700000000194e+00	-3.194413900000000472e-01
-2.239711600000000136e+00	-3.194413900000000472e-01
-2.239209600000000133e+00	-3.229907200000000089e-01
-2.238368799999999936e+00	-3.229907200000000089e-01
-2.237551400000000079e+00	-3.442868199999999934e-01
-2.236578399999999966e+00	-3.442868199999999934e-01
-2.235568900000000081e+00	-3.478361799999999948e-01
-2.234803600000000223e+00	-3.549348900000000029e-01
-2.234082800000000368e+00	-3.478361799999999948e-01
-2.233248999999999818e+00	-3.336387799999999682e-01
-2.232154700000000158e+00	-3.300894299999999615e-01
-2.231683300000000258e+00	-3.300894299999999615e-01
-2.230730799999999903e+00	-3.194413900000000472e-01
-2.229802499999999910e+00	-3.229907200000000089e-01
-2.229149699999999790e+00	-3.371881099999999853e-01
-2.227875699999999792e+00	-3.300894299999999615e-01
-2.227093100000000270e+00	-3.229907200000000089e-01
-2.225835900000000311e+00	-3.336387799999999682e-01
-2.225168599999999941e+00	-3.442868199999999934e-01
-2.224149500000000224e+00	-3.300894299999999615e-01
-2.223382100000000250e+00	-3.371881099999999853e-01
-2.222265299999999666e+00	-3.442868199999999934e-01
-2.221434399999999698e+00	-3.300894299999999615e-01
-2.220436499999999924e+00	-3.407374899999999762e-01
-2.219431499999999780e+00	-3.407374899999999762e-01
-2.218924700000000083e+00	-3.371881099999999853e-01
-2.217830100000000026e+00	-3.300894299999999615e-01
-2.216954499999999939e+00	-3.229907200000000089e-01
-2.215878999999999710e+00	-3.371881099999999853e-01
-2.215066199999999874e+00	-3.371881099999999853e-01
-2.213945700000000016e+00	-3.265400999999999998e-01
-2.213121000000000116e+00	-3.229907200000000089e-01
-2.212351099999999793e+00	-3.158920299999999903e-01
-2.211441400000000002e+00	-3.407374899999999762e-01
-2.210429100000000258e+00	-3.371881099999999853e-01
-2.209408400000000050e+00	-3.407374899999999762e-01
-2.208639899999999656e+00	-3.265400999999999998e-01
-2.207663300000000106e+00	-3.300894299999999615e-01
-2.206760199999999728e+00	-3.549348900000000029e-01
-2.205651800000000051e+00	-3.407374899999999762e-01
-2.204943299999999606e+00	-3.336387799999999682e-01
-2.203879399999999933e+00	-3.194413900000000472e-01
-2.202669499999999836e+00	-3.265400999999999998e-01
-2.201789599999999680e+00	-3.194413900000000472e-01
-2.200969399999999965e+00	-3.229907200000000089e-01
-2.200277499999999886e+00	-3.300894299999999615e-01
-2.199085399999999968e+00	-3.371881099999999853e-01
-2.197966500000000156e+00	-3.229907200000000089e-01
-2.197144799999999787e+00	-3.407374899999999762e-01
-2.196057699999999890e+00	-3.478361799999999948e-01
-2.195393300000000103e+00	-3.442868199999999934e-01
-2.193817200000000245e+00	-3.300894299999999615e-01
-2.193290100000000020e+00	-3.336387799999999682e-01
-2.192734699999999926e+00	-3.194413900000000472e-01
-2.191451999999999956e+00	-3.229907200000000089e-01
-2.190356599999999876e+00	-3.194413900000000472e-01
-2.189386100000000113e+00	-3.300894299999999615e-01
-2.188452999999999982e+00	-3.229907200000000089e-01
-2.187330000000000219e+00	-3.229907200000000089e-01
-2.186389600000000044e+00	-3.371881099999999853e-01
-2.185632599999999925e+00	-3.194413900000000472e-01
-2.184731800000000224e+00	-3.300894299999999615e-01
-2.183370700000000220e+00	-3.229907200000000089e-01
-2.182655200000000129e+00	-3.265400999999999998e-01
