# ZSnsr (um)	Defl (nm)
-2.217694599999999738e+00	-1.337435799999999908e+01
-2.217448800000000109e+00	-1.327260799999999996e+01
-2.217113399999999679e+00	-1.320477599999999896e+01
-2.216526399999999786e+00	-1.322738600000000098e+01
-2.215867199999999926e+00	-1.320477599999999896e+01
-2.215252399999999788e+00	-1.324999799999999972e+01
-2.214603199999999994e+00	-1.332913600000000010e+01
-2.213807399999999870e+00	-1.323869200000000035e+01
-2.212906100000000098e+00	-1.321608100000000086e+01
-2.212044099999999958e+00	-1.323869200000000035e+01
-2.211319699999999777e+00	-1.321608100000000086e+01
-2.210644199999999948e+00	-1.320477599999999896e+01
-2.209875199999999928e+00	-1.323869200000000035e+01
-2.209053500000000003e+00	-1.329521899999999945e+01
-2.208246099999999768e+00	-1.328391400000000111e+01
-2.207397799999999854e+00	-1.327260799999999996e+01
-2.206543299999999874e+00	-1.327260799999999996e+01
-2.205844299999999869e+00	-1.331782999999999895e+01
-2.205256599999999789e+00	-1.329521899999999945e+01
-2.204488099999999839e+00	-1.329521899999999945e+01
-2.203432400000000069e+00	-1.326130299999999984e+01
-2.202347599999999961e+00	-1.328391400000000111e+01
-2.201490399999999958e+00	-1.335174600000000034e+01
-2.200820699999999963e+00	-1.336305199999999971e+01
-2.200125899999999746e+00	-1.330652500000000060e+01
-2.199271600000000326e+00	-1.334044100000000022e+01
-2.198325800000000108e+00	-1.330652500000000060e+01
-2.197435800000000050e+00	-1.323869200000000035e+01
-2.196591399999999972e+00	-1.328391400000000111e+01
-2.195706700000000122e+00	-1.331782999999999895e+01
-2.194843099999999936e+00	-1.324999799999999972e+01
-2.194047999999999998e+00	-1.321608100000000086e+01
-2.193201499999999804e+00	-1.322738600000000098e+01
-2.192258499999999888e+00	-1.324999799999999972e+01
-2.191345399999999888e+00	-1.326130299999999984e+01
-2.190516399999999919e+00	-1.329521899999999945e+01
-2.189682200000000023e+00	-1.327260799999999996e+01
-2.188796299999999917e+00	-1.327260799999999996e+01
-2.187901399999999885e+00	-1.323869200000000035e+01
-2.186996399999999952e+00	-1.323869200000000035e+01
-2.186015299999999772e+00	-1.323869200000000035e+01
-2.184974599999999878e+00	-1.322738600000000098e+01
-2.184010600000000135e+00	-1.321608100000000086e+01
-2.183145899999999973e+00	-1.322738600000000098e+01
-2.182237299999999713e+00	-1.326130299999999984e+01
-2.181235000000000035e+00	-1.323869200000000035e+01
-2.180223900000000103e+00	-1.329521899999999945e+01
-2.179238000000000230e+00	-1.328391400000000111e+01
-2.178258000000000028e+00	-1.322738600000000098e+01
-2.177265500000000298e+00	-1.324999799999999972e+01
-2.176286399999999954e+00	-1.327260799999999996e+01
-2.175441999999999876e+00	-1.328391400000000111e+01
-2.174727999999999994e+00	-1.322738600000000098e+01
-2.173918600000000367e+00	-1.323869200000000035e+01
-2.172894900000000185e+00	-1.321608100000000086e+01
-2.171781900000000043e+00	-1.320477599999999896e+01
-2.170737599999999823e+00	-1.324999799999999972e+01
-2.169774900000000173e+00	-1.322738600000000098e+01
-2.168817699999999959e+00	-1.319346999999999959e+01
-2.167902900000000077e+00	-1.323869200000000035e+01
-2.167138299999999962e+00	-1.323869200000000035e+01
-2.166416600000000248e+00	-1.321608100000000086e+01
-2.165485299999999835e+00	-1.318216499999999947e+01
-2.164374999999999716e+00	-1.317085900000000009e+01
-2.163348700000000235e+00	-1.318216499999999947e+01
-2.162446399999999880e+00	-1.319346999999999959e+01
-2.161567600000000144e+00	-1.322738600000000098e+01
-2.160728200000000321e+00	-1.323869200000000035e+01
-2.159868200000000016e+00	-1.322738600000000098e+01
-2.158867799999999892e+00	-1.322738600000000098e+01
-2.157774399999999648e+00	-1.324999799999999972e+01
-2.156687099999999635e+00	-1.319346999999999959e+01
-2.155650200000000183e+00	-1.320477599999999896e+01
-2.154683399999999693e+00	-1.320477599999999896e+01
-2.153749200000000030e+00	-1.318216499999999947e+01
-2.152768000000000015e+00	-1.317085900000000009e+01
-2.151745299999999972e+00	-1.314824799999999883e+01
-2.150816300000000236e+00	-1.319346999999999959e+01
-2.149982000000000060e+00	-1.320477599999999896e+01
-2.149036200000000285e+00	-1.320477599999999896e+01
-2.147963600000000195e+00	-1.322738600000000098e+01
-2.146956400000000098e+00	-1.320477599999999896e+01
-2.146056699999999928e+00	-1.317085900000000009e+01
-2.145178500000000099e+00	-1.327260799999999996e+01
-2.144261799999999774e+00	-1.319346999999999959e+01
-2.143314800000000186e+00	-1.321608100000000086e+01
-2.142384799999999867e+00	-1.315955300000000072e+01
-2.141434600000000188e+00	-1.315955300000000072e+01
-2.140427600000000208e+00	-1.321608100000000086e+01
-2.139441699999999891e+00	-1.320477599999999896e+01
-2.138512900000000272e+00	-1.320477599999999896e+01
-2.137553299999999989e+00	-1.320477599999999896e+01
-2.136493999999999893e+00	-1.315955300000000072e+01
-2.135399000000000047e+00	-1.314824799999999883e+01
-2.134370799999999679e+00	-1.317085900000000009e+01
-2.133453599999999728e+00	-1.313694300000000048e+01
-2.132630699999999990e+00	-1.309172099999999972e+01
-2.131804900000000114e+00	-1.309172099999999972e+01
-2.130872600000000006e+00	-1.308041600000000138e+01
-2.129820399999999836e+00	-1.310302599999999984e+01
-2.128709399999999974e+00	-1.312563699999999933e+01
-2.127631199999999723e+00	-1.315955300000000072e+01
-2.126641000000000226e+00	-1.318216499999999947e+01
-2.125727599999999828e+00	-1.317085900000000009e+01
-2.124838399999999794e+00	-1.314824799999999883e+01
-2.123899799999999782e+00	-1.311433200000000099e+01
-2.122892100000000060e+00	-1.309172099999999972e+01
-2.121875200000000294e+00	-1.315955300000000072e+01
-2.120857100000000273e+00	-1.320477599999999896e+01
-2.119807500000000289e+00	-1.314824799999999883e+01
-2.118779999999999664e+00	-1.315955300000000072e+01
-2.117829600000000312e+00	-1.320477599999999896e+01
-2.116934199999999766e+00	-1.320477599999999896e+01
-2.116005799999999937e+00	-1.317085900000000009e+01
-2.114985099999999729e+00	-1.317085900000000009e+01
-2.113942600000000116e+00	-1.314824799999999883e+01
-2.112940099999999877e+00	-1.315955300000000072e+01
-2.111920599999999926e+00	-1.314824799999999883e+01
-2.110865999999999687e+00	-1.311433200000000099e+01
-2.109868099999999913e+00	-1.319346999999999959e+01
-2.108960600000000074e+00	-1.318216499999999947e+01
-2.108028000000000013e+00	-1.318216499999999947e+01
-2.107018000000000058e+00	-1.314824799999999883e+01
-2.106038400000000088e+00	-1.313694300000000048e+01
-2.105100300000000146e+00	-1.315955300000000072e+01
-2.104077300000000150e+00	-1.310302599999999984e+01
-2.102947100000000180e+00	-1.311433200000000099e+01
-2.101846300000000056e+00	-1.311433200000000099e+01
-2.100887500000000241e+00	-1.314824799999999883e+01
-2.099999400000000183e+00	-1.315955300000000072e+01
-2.099043099999999828e+00	-1.317085900000000009e+01
-2.098003099999999677e+00	-1.318216499999999947e+01
-2.096976199999999846e+00	-1.317085900000000009e+01
-2.096008499999999941e+00	-1.317085900000000009e+01
-2.095047899999999963e+00	-1.317085900000000009e+01
-2.094085599999999658e+00	-1.319346999999999959e+01
-2.093128399999999889e+00	-1.320477599999999896e+01
-2.092106799999999822e+00	-1.313694300000000048e+01
-2.090991099999999658e+00	-1.314824799999999883e+01
-2.089868999999999755e+00	-1.314824799999999883e+01
-2.088866499999999959e+00	-1.315955300000000072e+01
-2.087980600000000297e+00	-1.321608100000000086e+01
-2.087057999999999858e+00	-1.319346999999999959e+01
-2.086028199999999888e+00	-1.317085900000000009e+01
-2.084970899999999627e+00	-1.311433200000000099e+01
-2.083947300000000169e+00	-1.310302599999999984e+01
-2.082964599999999944e+00	-1.312563699999999933e+01
-2.081981199999999976e+00	-1.313694300000000048e+01
-2.080915000000000070e+00	-1.318216499999999947e+01
-2.079855400000000021e+00	-1.315955300000000072e+01
-2.078960100000000200e+00	-1.321608100000000086e+01
-2.078048700000000082e+00	-1.319346999999999959e+01
-2.076910100000000092e+00	-1.321608100000000086e+01
-2.075768199999999730e+00	-1.313694300000000048e+01
-2.074836599999999809e+00	-1.315955300000000072e+01
-2.073955100000000051e+00	-1.313694300000000048e+01
-2.073005999999999904e+00	-1.312563699999999933e+01
-2.072062900000000152e+00	-1.314824799999999883e+01
-2.071131100000000114e+00	-1.315955300000000072e+01
-2.070166799999999974e+00	-1.313694300000000048e+01
-2.069147500000000139e+00	-1.310302599999999984e+01
-2.068020900000000051e+00	-1.313694300000000048e+01
-2.066806500000000213e+00	-1.310302599999999984e+01
-2.065642800000000001e+00	-1.312563699999999933e+01
-2.064598000000000155e+00	-1.311433200000000099e+01
-2.063641700000000245e+00	-1.314824799999999883e+01
-2.062754899999999836e+00	-1.314824799999999883e+01
-2.061838799999999861e+00	-1.317085900000000009e+01
-2.060761100000000123e+00	-1.311433200000000099e+01
-2.059649400000000075e+00	-1.311433200000000099e+01
-2.058722700000000128e+00	-1.315955300000000072e+01
-2.057866100000000031e+00	-1.313694300000000048e+01
-2.056871600000000022e+00	-1.310302599999999984e+01
-2.055780900000000244e+00	-1.310302599999999984e+01
-2.054686999999999930e+00	-1.311433200000000099e+01
