# ZSnsr (um)	Defl (nm)
1.492197299999999949e+00	-2.038374100000000055e+01
1.492801199999999939e+00	-2.033851999999999904e+01
1.493469900000000017e+00	-2.033851999999999904e+01
1.494205999999999923e+00	-2.033851999999999904e+01
1.494911500000000171e+00	-2.037243600000000043e+01
1.495579999999999909e+00	-2.040635200000000182e+01
1.496255399999999902e+00	-2.039504700000000170e+01
1.497002000000000166e+00	-2.037243600000000043e+01
1.497853400000000113e+00	-2.036113100000000031e+01
1.498745500000000064e+00	-2.033851999999999904e+01
1.499562199999999956e+00	-2.032721399999999790e+01
1.500299700000000014e+00	-2.041765899999999689e+01
1.501075099999999996e+00	-2.032721399999999790e+01
1.501934899999999962e+00	-2.033851999999999904e+01
1.502812199999999931e+00	-2.032721399999999790e+01
1.503652599999999895e+00	-2.033851999999999904e+01
1.504443199999999869e+00	-2.031590899999999777e+01
1.505196100000000037e+00	-2.033851999999999904e+01
1.505970400000000042e+00	-2.034982499999999916e+01
1.506829399999999985e+00	-2.034982499999999916e+01
1.507760800000000012e+00	-2.034982499999999916e+01
1.508662799999999971e+00	-2.044026799999999966e+01
1.509441299999999986e+00	-2.042896299999999954e+01
1.510199199999999964e+00	-2.041765899999999689e+01
1.511153799999999991e+00	-2.038374100000000055e+01
1.512211200000000089e+00	-2.038374100000000055e+01
1.513089600000000035e+00	-2.039504700000000170e+01
1.513832400000000078e+00	-2.038374100000000055e+01
1.514655100000000143e+00	-2.039504700000000170e+01
1.515572200000000036e+00	-2.034982499999999916e+01
1.516481100000000026e+00	-2.036113100000000031e+01
1.517383900000000008e+00	-2.039504700000000170e+01
1.518308900000000072e+00	-2.036113100000000031e+01
1.519162499999999971e+00	-2.032721399999999790e+01
1.519960399999999989e+00	-2.034982499999999916e+01
1.520882999999999985e+00	-2.036113100000000031e+01
1.521894300000000033e+00	-2.033851999999999904e+01
1.522812599999999961e+00	-2.033851999999999904e+01
1.523685100000000014e+00	-2.032721399999999790e+01
1.524651999999999896e+00	-2.038374100000000055e+01
1.525658699999999923e+00	-2.032721399999999790e+01
1.526533200000000035e+00	-2.036113100000000031e+01
1.527258700000000191e+00	-2.038374100000000055e+01
1.528046699999999980e+00	-2.038374100000000055e+01
1.529033599999999993e+00	-2.034982499999999916e+01
1.530061699999999858e+00	-2.033851999999999904e+01
1.530981200000000042e+00	-2.034982499999999916e+01
1.531929000000000096e+00	-2.039504700000000170e+01
1.533012299999999994e+00	-2.036113100000000031e+01
1.534058399999999933e+00	-2.040635200000000182e+01
1.534937800000000019e+00	-2.042896299999999954e+01
1.535773700000000019e+00	-2.044026799999999966e+01
1.536687299999999867e+00	-2.046287900000000093e+01
1.537642300000000128e+00	-2.044026799999999966e+01
1.538611199999999846e+00	-2.042896299999999954e+01
1.539627500000000149e+00	-2.042896299999999954e+01
1.540612700000000057e+00	-2.045157500000000184e+01
1.541452899999999904e+00	-2.049679700000000082e+01
1.542239599999999822e+00	-2.045157500000000184e+01
1.543099800000000021e+00	-2.042896299999999954e+01
1.544025399999999992e+00	-2.033851999999999904e+01
1.545018199999999897e+00	-2.042896299999999954e+01
1.546059000000000072e+00	-2.040635200000000182e+01
1.547088899999999878e+00	-2.040635200000000182e+01
1.548094100000000140e+00	-2.040635200000000182e+01
1.549064299999999950e+00	-2.042896299999999954e+01
1.550021199999999988e+00	-2.038374100000000055e+01
1.551002699999999956e+00	-2.044026799999999966e+01
1.551944400000000002e+00	-2.047418600000000311e+01
1.552807199999999943e+00	-2.044026799999999966e+01
1.553721399999999919e+00	-2.038374100000000055e+01
1.554762999999999895e+00	-2.042896299999999954e+01
1.555807300000000115e+00	-2.041765899999999689e+01
1.556719100000000022e+00	-2.045157500000000184e+01
1.557538800000000112e+00	-2.046287900000000093e+01
1.558433700000000144e+00	-2.045157500000000184e+01
1.559436999999999962e+00	-2.041765899999999689e+01
1.560399800000000115e+00	-2.038374100000000055e+01
1.561254699999999884e+00	-2.044026799999999966e+01
1.562114299999999956e+00	-2.044026799999999966e+01
1.563079300000000060e+00	-2.046287900000000093e+01
1.564096400000000164e+00	-2.046287900000000093e+01
1.565103399999999922e+00	-2.044026799999999966e+01
1.566151499999999919e+00	-2.041765899999999689e+01
1.567245099999999836e+00	-2.041765899999999689e+01
1.568237499999999951e+00	-2.048549099999999967e+01
1.569035199999999852e+00	-2.046287900000000093e+01
1.569814700000000007e+00	-2.042896299999999954e+01
1.570813499999999863e+00	-2.040635200000000182e+01
1.571945200000000042e+00	-2.044026799999999966e+01
1.572945299999999991e+00	-2.047418600000000311e+01
1.573836699999999977e+00	-2.045157500000000184e+01
1.574797599999999909e+00	-2.040635200000000182e+01
1.575754399999999888e+00	-2.039504700000000170e+01
1.576625100000000002e+00	-2.042896299999999954e+01
1.577597499999999986e+00	-2.044026799999999966e+01
1.578736899999999999e+00	-2.044026799999999966e+01
1.579809500000000089e+00	-2.039504700000000170e+01
1.580739099999999953e+00	-2.044026799999999966e+01
1.581706900000000138e+00	-2.045157500000000184e+01
1.582720600000000033e+00	-2.041765899999999689e+01
1.583618100000000029e+00	-2.038374100000000055e+01
1.584450600000000042e+00	-2.044026799999999966e+01
1.585407100000000069e+00	-2.041765899999999689e+01
1.586494199999999966e+00	-2.041765899999999689e+01
1.587559600000000071e+00	-2.041765899999999689e+01
1.588495900000000072e+00	-2.042896299999999954e+01
1.589373599999999831e+00	-2.042896299999999954e+01
1.590365599999999935e+00	-2.044026799999999966e+01
1.591491599999999895e+00	-2.041765899999999689e+01
1.592584000000000000e+00	-2.042896299999999954e+01
1.593549199999999999e+00	-2.036113100000000031e+01
1.594466099999999997e+00	-2.041765899999999689e+01
1.595416100000000004e+00	-2.042896299999999954e+01
1.596402100000000157e+00	-2.044026799999999966e+01
1.597414899999999971e+00	-2.042896299999999954e+01
1.598428399999999971e+00	-2.042896299999999954e+01
1.599402100000000049e+00	-2.044026799999999966e+01
1.600368100000000071e+00	-2.041765899999999689e+01
1.601341400000000137e+00	-2.037243600000000043e+01
1.602238899999999910e+00	-2.041765899999999689e+01
1.603093099999999938e+00	-2.042896299999999954e+01
1.604057199999999961e+00	-2.037243600000000043e+01
1.605129199999999923e+00	-2.041765899999999689e+01
1.606146300000000027e+00	-2.040635200000000182e+01
1.607063200000000025e+00	-2.041765899999999689e+01
1.608024800000000143e+00	-2.040635200000000182e+01
1.609049900000000033e+00	-2.040635200000000182e+01
1.609974099999999853e+00	-2.040635200000000182e+01
1.610806500000000030e+00	-2.038374100000000055e+01
1.611735799999999941e+00	-2.036113100000000031e+01
1.612815700000000074e+00	-2.039504700000000170e+01
1.613929500000000017e+00	-2.039504700000000170e+01
1.614968399999999971e+00	-2.036113100000000031e+01
1.615944000000000047e+00	-2.042896299999999954e+01
1.616938200000000103e+00	-2.041765899999999689e+01
1.617948799999999965e+00	-2.041765899999999689e+01
1.618877600000000028e+00	-2.036113100000000031e+01
1.619737999999999900e+00	-2.036113100000000031e+01
1.620729300000000039e+00	-2.034982499999999916e+01
1.621867799999999971e+00	-2.039504700000000170e+01
1.622836000000000167e+00	-2.041765899999999689e+01
1.623563799999999890e+00	-2.038374100000000055e+01
1.624395399999999823e+00	-2.037243600000000043e+01
1.625484999999999847e+00	-2.040635200000000182e+01
1.626668299999999956e+00	-2.037243600000000043e+01
1.627808999999999839e+00	-2.038374100000000055e+01
1.628850400000000143e+00	-2.040635200000000182e+01
1.629774599999999962e+00	-2.037243600000000043e+01
1.630643999999999982e+00	-2.034982499999999916e+01
1.631534000000000040e+00	-2.041765899999999689e+01
1.632483799999999929e+00	-2.046287900000000093e+01
1.633488400000000063e+00	-2.041765899999999689e+01
1.634477100000000016e+00	-2.038374100000000055e+01
1.635420899999999955e+00	-2.041765899999999689e+01
1.636382100000000062e+00	-2.046287900000000093e+01
1.637428100000000164e+00	-2.042896299999999954e+01
1.638574799999999998e+00	-2.041765899999999689e+01
1.639697900000000041e+00	-2.040635200000000182e+01
1.640635699999999808e+00	-2.038374100000000055e+01
1.641477400000000086e+00	-2.045157500000000184e+01
1.642427000000000081e+00	-2.042896299999999954e+01
1.643474800000000124e+00	-2.040635200000000182e+01
1.644510200000000033e+00	-2.040635200000000182e+01
1.645512700000000050e+00	-2.042896299999999954e+01
1.646491799999999950e+00	-2.042896299999999954e+01
1.647439899999999957e+00	-2.044026799999999966e+01
1.648387300000000000e+00	-2.048549099999999967e+01
1.649434800000000090e+00	-2.044026799999999966e+01
1.650614599999999932e+00	-2.047418600000000311e+01
1.651773799999999959e+00	-2.046287900000000093e+01
1.652768199999999910e+00	-2.047418600000000311e+01
1.653620799999999891e+00	-2.049679700000000082e+01
1.654468599999999956e+00	-2.045157500000000184e+01
1.655425200000000041e+00	-2.044026799999999966e+01
1.656444699999999992e+00	-2.045157500000000184e+01
1.657478400000000018e+00	-2.039504700000000170e+01
1.658578600000000014e+00	-2.037243600000000043e+01
1.659706600000000032e+00	-2.044026799999999966e+01
1.660752400000000017e+00	-2.044026799999999966e+01
1.661692299999999900e+00	-2.048549099999999967e+01
1.662592500000000140e+00	-2.041765899999999689e+01
1.663517700000000099e+00	-2.038374100000000055e+01
1.664468100000000117e+00	-2.045157500000000184e+01
1.665451199999999909e+00	-2.041765899999999689e+01
1.666493899999999861e+00	-2.040635200000000182e+01
1.667557100000000014e+00	-2.045157500000000184e+01
1.668598000000000026e+00	-2.047418600000000311e+01
1.669644300000000081e+00	-2.038374100000000055e+01
1.670750599999999864e+00	-2.040635200000000182e+01
1.671871600000000013e+00	-2.040635200000000182e+01
1.672840399999999894e+00	-2.044026799999999966e+01
1.673659400000000019e+00	-2.046287900000000093e+01
1.674562099999999942e+00	-2.039504700000000170e+01
1.675638900000000042e+00	-2.041765899999999689e+01
1.676745099999999988e+00	-2.042896299999999954e+01
1.677794000000000008e+00	-2.045157500000000184e+01
1.678854300000000022e+00	-2.047418600000000311e+01
1.679912800000000095e+00	-2.050810200000000094e+01
1.680855299999999941e+00	-2.049679700000000082e+01
1.681739300000000048e+00	-2.047418600000000311e+01
1.682715399999999972e+00	-2.042896299999999954e+01
1.683763499999999969e+00	-2.041765899999999689e+01
1.684783099999999978e+00	-2.042896299999999954e+01
1.685764000000000040e+00	-2.040635200000000182e+01
1.686728499999999853e+00	-2.042896299999999954e+01
1.687694400000000039e+00	-2.041765899999999689e+01
1.688708899999999957e+00	-2.048549099999999967e+01
1.689765399999999973e+00	-2.042896299999999954e+01
1.690805899999999973e+00	-2.044026799999999966e+01
1.691878999999999911e+00	-2.042896299999999954e+01
1.693026900000000001e+00	-2.038374100000000055e+01
1.694146700000000116e+00	-2.040635200000000182e+01
1.695167400000000102e+00	-2.041765899999999689e+01
1.696102900000000080e+00	-2.040635200000000182e+01
1.696992599999999962e+00	-2.042896299999999954e+01
1.697919699999999921e+00	-2.038374100000000055e+01
1.698909999999999920e+00	-2.037243600000000043e+01
1.699889599999999890e+00	-2.041765899999999689e+01
1.700875099999999973e+00	-2.038374100000000055e+01
1.701977500000000143e+00	-2.041765899999999689e+01
1.703135900000000147e+00	-2.041765899999999689e+01
1.704191299999999964e+00	-2.039504700000000170e+01
1.705184000000000033e+00	-2.037243600000000043e+01
1.706200700000000126e+00	-2.045157500000000184e+01
1.707160400000000022e+00	-2.039504700000000170e+01
1.708085200000000192e+00	-2.040635200000000182e+01
1.709176299999999982e+00	-2.039504700000000170e+01
1.710397299999999898e+00	-2.036113100000000031e+01
1.711441299999999943e+00	-2.044026799999999966e+01
1.712219799999999958e+00	-2.040635200000000182e+01
1.713003400000000065e+00	-2.042896299999999954e+01
1.714027799999999990e+00	-2.038374100000000055e+01
1.715162400000000087e+00	-2.036113100000000031e+01
1.716183299999999967e+00	-2.039504700000000170e+01
1.717171900000000084e+00	-2.039504700000000170e+01
1.718223300000000009e+00	-2.039504700000000170e+01
1.719231200000000070e+00	-2.037243600000000043e+01
1.720216299999999920e+00	-2.033851999999999904e+01
1.721268899999999880e+00	-2.036113100000000031e+01
1.722300900000000023e+00	-2.040635200000000182e+01
1.723261799999999955e+00	-2.037243600000000043e+01
1.724240699999999960e+00	-2.038374100000000055e+01
1.725248000000000115e+00	-2.036113100000000031e+01
1.726269400000000065e+00	-2.032721399999999790e+01
1.727349600000000152e+00	-2.032721399999999790e+01
1.728412800000000082e+00	-2.033851999999999904e+01
1.729377699999999907e+00	-2.031590899999999777e+01
1.730348499999999845e+00	-2.032721399999999790e+01
1.731412900000000032e+00	-2.033851999999999904e+01
1.732534400000000030e+00	-2.034982499999999916e+01
1.733651399999999843e+00	-2.031590899999999777e+01
1.734733500000000150e+00	-2.031590899999999777e+01
1.735813300000000003e+00	-2.027068599999999776e+01
1.736852799999999863e+00	-2.034982499999999916e+01
1.737732399999999844e+00	-2.034982499999999916e+01
1.738541200000000009e+00	-2.038374100000000055e+01
1.739479400000000009e+00	-2.036113100000000031e+01
1.740522499999999972e+00	-2.036113100000000031e+01
1.741560299999999950e+00	-2.030460399999999765e+01
1.742616100000000001e+00	-2.033851999999999904e+01
1.743763799999999975e+00	-2.039504700000000170e+01
1.745002000000000164e+00	-2.040635200000000182e+01
1.746184999999999876e+00	-2.041765899999999689e+01
1.747122800000000087e+00	-2.036113100000000031e+01
1.747872700000000057e+00	-2.033851999999999904e+01
1.748731500000000105e+00	-2.033851999999999904e+01
1.749797400000000058e+00	-2.039504700000000170e+01
1.750872999999999902e+00	-2.039504700000000170e+01
1.751837499999999936e+00	-2.037243600000000043e+01
1.752750699999999995e+00	-2.040635200000000182e+01
1.753712500000000007e+00	-2.042896299999999954e+01
1.754814099999999932e+00	-2.038374100000000055e+01
1.756026800000000110e+00	-2.039504700000000170e+01
1.757178999999999824e+00	-2.040635200000000182e+01
1.758188400000000096e+00	-2.041765899999999689e+01
